Amount_of_chicken,Temperature,Humidity,AQI (Air quality),WQI (Water quality),Humidex
2728,29.2,50.7,2.260325115,87.98903687,36.70005538
2728,29.1,53.1,14.3746385,94.94488852,36.51205871
2728,29.1,54.1,12.49835381,97.31015529,36.46360165
2728,29.1,51.9,39.30526718,89.68440136,30.49375505
2724,29.1,51.1,48.80239998,89.45246347,32.60092317
2712,29.1,50,49.02029555,81.02304554,35.78370984
2673,29.1,48.8,28.11831027,89.13879982,33.11248929
2654,29.1,50.4,38.89619257,85.59395076,30.97087318
2649,29,50.5,39.7910233,98.98188182,31.24459401
2646,29,50.9,13.97515942,84.67606633,32.84745086
2646,29,50.5,31.7364422,97.57288039,30.67460115
2646,29,49.7,24.33962409,82.69674357,36.77975976
2646,29,51,26.48314262,93.60754462,34.22453993
2646,29,48.6,38.2123018,86.83691452,33.61101587
2645,29,50,43.33580555,95.5058481,31.6931857
2645,29,51.5,30.25101291,92.68322465,36.40845148
2643,29.2,53.5,28.26448984,98.905952,31.37920684
2642,29.3,51.7,10.81869528,99.83812358,36.85256844
2642,29.2,53.1,8.008109914,81.7046726,36.42569926
2642,29.2,50.6,23.94903023,81.4726838,35.62545184
2640,29,50.5,38.00636436,85.75384439,36.20179967
2639,29.3,50.7,18.5361332,92.1746754,36.50466616
2745,29.5,48.2,38.42721204,94.70350653,34.51388126
2744,31,51,1.075473431,95.06676289,35.84938615
2744,31,52.4,25.11306093,95.07474021,34.18347852
2744,30,48.8,35.6311481,98.24584324,30.143874
2744,31,49.1,47.76767592,86.32634833,35.25684658
2742,31,50.9,10.66769603,85.02206741,36.7136803
2742,30,47.5,47.66486822,86.32380816,34.14788264
2741,30,51.2,34.92201844,82.01495304,31.87036387
2740,30.5,46.1,20.24069196,99.18887955,31.14155367
2740,31,48.3,32.72676246,99.55151383,36.77308931
2740,31.5,52.1,43.86430094,95.06723739,30.64389574
2740,32,49.9,19.26584137,99.75031777,30.9786922
2739,30,50.6,10.31417518,80.45586971,30.8798558
2739,29,49.8,8.969162253,89.46503469,32.79759688
2736,30,50.2,44.40318936,93.47084572,33.57540697
2736,30.5,48.7,12.8816944,80.53177784,30.40661538
2736,29.5,52.7,49.89056003,99.71497752,33.06493485
2736,30.5,51.4,12.43860053,87.54674251,34.68642598
2735,29,49.5,8.640109331,81.71614437,34.19684608
2735,29.5,50.7,32.18933484,91.81224221,32.7916232
2735,29.5,49.3,31.9559385,92.27895183,30.79178432
2732,30,51.7,3.727002374,90.91883847,32.7156568
2732,30,49.6,5.507299881,90.66795122,35.43126003
2732,30.5,48.5,27.08979618,87.23613956,34.09706409
2732,30.5,52.9,36.54629585,87.66084318,35.62115519
2730,32,50.8,32.07909344,98.69006883,31.43480222
2730,31,47.1,38.92703748,92.44293748,35.0242854
2730,29.5,50.5,47.42324609,85.25564938,32.6823306
2729,28.5,52.3,32.96179671,80.73153571,32.70377191
2729,30.5,51.6,41.99811791,87.55876467,32.60882491
2728,29.3,51.7,33.37384208,82.08194745,32.81539009
2728,29.3,52.3,14.64163962,83.769018,32.90757751
2728,29.3,52.5,21.60010553,97.37698097,31.51097637
2728,29.3,49.7,28.25437168,97.27556916,35.95499919
2728,29.2,51.4,4.127362211,97.11595438,30.71256756
2728,29.2,54.3,7.696447385,88.63503761,35.53514637
2728,29.2,53.5,2.010529292,80.14437798,34.4918646
2728,29.2,51.7,23.10110883,86.0539688,32.3799081
2728,29.2,50.6,1.20641351,95.60172752,33.4821476
2728,29.2,50.7,40.77312229,96.78968928,31.90287734
2728,29.1,53.1,49.88528171,84.10056754,32.73544894
2728,29.1,54.1,8.923353768,84.80371931,33.92283043
2728,29.1,51.9,2.415994442,90.62304188,35.68579577
2724,29.1,51.1,44.38176898,88.68858278,33.80894794
2712,29.1,50,19.85726675,90.88102132,31.54068631
2673,29.1,48.8,27.82182883,98.09278694,32.97324122
2654,29.1,50.4,49.28267028,81.47526713,34.78135739
2649,29,50.5,34.22894265,92.68364183,35.82579198
2646,29,50.9,27.1427283,94.32202306,33.83394458
2646,29,50.5,49.10548149,89.26298891,33.87960717
2646,29,49.7,14.59174709,93.61184512,34.0521402
2646,29,51,36.37349378,88.11087959,31.62730042
2646,29,48.6,36.94944571,92.37889851,35.38179989
2645,29,50,22.08442672,87.92742568,33.06718096
2645,29,51.5,10.69952954,89.17086022,31.1764831
2643,29.2,53.5,45.13572395,85.56029352,34.25676748
2642,29.3,51.7,10.32485821,90.00761369,30.22217543
2642,29.2,53.1,0.845708812,90.00089378,30.81343509
2642,29.2,50.6,14.79516239,91.33754566,31.59455507
2640,29,50.5,40.02081696,88.64065564,34.43304489
2639,29.3,50.7,37.64125575,87.9038129,31.81880176
2745,29.5,48.2,28.54077551,91.67270681,31.76739176
2744,31,51,18.94930856,99.25094137,35.88855977
2744,31,52.4,24.12974254,92.43644145,30.2006157
2744,30,48.8,6.778822343,86.5347143,36.18935399
2744,31,49.1,27.53387373,86.19561542,31.18277815
2742,31,50.9,7.694742,92.25725529,31.77774392
2742,30,47.5,7.467383614,94.71782854,34.62533602
2741,30,51.2,40.88781862,95.22850582,31.17296095
2740,30.5,46.1,46.8137101,89.00647506,36.42876438
2740,31,48.3,21.20676435,82.77711414,36.8226673
2740,31.5,52.1,10.94959851,97.20297537,36.20510442
2740,32,49.9,21.11022774,99.15914077,30.99168675
2739,30,50.6,2.433285053,86.96835598,33.10346891
2739,29,49.8,18.39479993,81.18170746,32.93438551
2736,30,50.2,14.01652803,87.50102129,34.66159474
2736,30.5,48.7,8.158671261,87.58971548,34.41231804
2736,29.5,52.7,30.76336661,91.27064546,34.56030181
2736,30.5,51.4,19.16545236,80.64886152,31.0339522
2735,29,49.5,26.26605619,99.838357,35.84257142
2735,29.5,50.7,21.62355663,89.50065747,33.34184349
2735,29.5,49.3,12.08202506,98.16597186,34.94467251
2732,30,51.7,10.2869182,98.21934317,32.177687
2732,30,49.6,40.63874694,87.13009524,31.60013718
2732,30.5,48.5,19.75084788,82.47371784,31.27143847
2732,30.5,52.9,6.120483331,87.32075544,30.36178404
2730,32,50.8,42.33374332,86.26662133,34.89553638
2730,31,47.1,26.55422765,86.39370964,32.49015084
2730,29.5,50.5,12.91244804,80.04683212,30.73572743
2729,28.5,52.3,7.54880884,84.53167416,34.64655785
2729,30.5,51.6,37.62080704,87.75981965,34.20331907
2728,29.3,51.7,36.20521199,87.63143606,35.14739989
2728,29.3,52.3,5.852926465,84.53582416,32.24208275
2728,29.3,52.5,20.34191183,82.59471442,30.76456041
2728,29.3,49.7,6.795877822,92.80868058,32.34132327
2728,29.2,51.4,45.15702057,93.85702417,32.33194368
2728,29.2,54.3,8.405303821,89.63552461,35.37026966
2728,29.2,53.5,6.870268157,85.95866313,31.40515247
2728,29.2,51.7,38.4644998,89.40802369,32.18042846
2728,29.2,50.6,39.44110632,83.92855482,32.63492156
2728,29.2,50.7,26.48228014,88.79534333,32.90350177
2728,29.1,53.1,0.120204235,91.72420113,35.14649899
2728,29.1,54.1,10.92595471,98.7875019,36.46924616
2728,29.1,51.9,36.33183738,93.7888042,33.10693793
2724,29.1,51.1,14.28845289,95.16629638,31.42861196
2712,29.1,50,4.570418615,97.76655842,32.10498957
2673,29.1,48.8,13.43043147,80.71271611,32.16787057
2654,29.1,50.4,43.10834727,87.76127527,34.52237005
2649,29,50.5,24.48796487,85.35547785,34.24279755
2646,29,50.9,45.57197823,97.48771959,30.3598762
2646,29,50.5,49.9363752,90.56058501,34.44139007
2646,29,49.7,7.485742652,93.81590598,33.51795284
2646,29,51,28.73251179,81.35503473,33.15003383
2646,29,48.6,32.87853324,87.41396874,31.39903402
2645,29,50,13.01414182,84.0237381,30.90705285
2645,29,51.5,8.891487279,97.91480473,33.39477208
2643,29.2,53.5,0.125305264,94.2887926,30.23524338
2642,29.3,51.7,39.97737266,95.79229447,31.27351482
2642,29.2,53.1,14.69227381,81.84067458,30.82474225
2642,29.2,50.6,16.08082186,95.94056292,33.87667864
2640,29,50.5,0.308108678,81.37007787,30.80042324
2639,29.3,50.7,43.28905757,86.60559508,36.7016807
2745,29.5,48.2,24.96336296,89.11633186,32.81943039
2744,31,51,39.67305816,97.01145929,36.30292187
2744,31,52.4,34.15229427,85.3293445,31.91483511
2744,30,48.8,32.85469024,81.56079105,36.99011335
2744,31,49.1,32.23137399,97.634353,36.47893864
2742,31,50.9,45.64401617,83.45161364,32.40527584
2742,30,47.5,24.07811186,84.77057826,36.76888646
2741,30,51.2,20.27501823,98.60365465,32.42065309
2740,30.5,46.1,1.684393771,80.64191447,34.14955292
2740,31,48.3,30.55522592,98.51305145,31.36489375
2740,31.5,52.1,38.02132109,84.36468843,31.20144026
2740,32,49.9,25.02272501,89.86362578,31.02554667
2739,30,50.6,23.44108333,92.64518371,36.7571496
2739,29,49.8,2.187911952,99.95457669,34.67620405
2736,30,50.2,40.27841784,95.6375164,33.07188995
2736,30.5,48.7,3.453487815,80.68814906,36.09417916
2736,29.5,52.7,22.63669813,87.49970935,31.28194142
2736,30.5,51.4,6.452726691,88.94561321,32.20457627
2735,29,49.5,49.51577757,87.83563773,30.85021644
2735,29.5,50.7,35.22694176,83.40183461,35.45473813
2735,29.5,49.3,17.40430066,89.40404247,31.5980086
2732,30,51.7,15.79223572,87.42046979,31.6465483
2732,30,49.6,13.11965846,93.4601344,36.90223144
2732,30.5,48.5,5.967663196,95.88371021,32.23367375
2732,30.5,52.9,44.96334858,92.75055048,36.45314018
2730,32,50.8,25.85554697,90.7506239,30.32105371
2730,31,47.1,45.34667724,96.15082881,32.09618211
2730,29.5,50.5,43.46695919,98.29409635,32.30395279
2729,28.5,52.3,10.93182864,86.76928296,36.17274846
2729,30.5,51.6,42.48347745,84.82899917,33.18430279
2728,29.3,51.7,26.57843981,85.224399,35.44567708
2728,29.3,52.3,27.49691326,85.46806709,30.84879034
2728,29.3,52.5,6.417819914,98.43774126,35.90079265
2728,29.3,49.7,43.50170595,86.3594776,33.26507644
2728,29.2,51.4,49.01885788,92.48361986,34.90821533
2728,29.2,54.3,34.51660664,87.15776853,35.34282216
2728,29.2,53.5,34.64153491,99.08067004,34.12878576
2728,29.2,51.7,15.22885928,80.66812965,36.84226223
2728,29.2,50.6,3.025747557,95.9802408,31.21435483
2728,29.2,50.7,2.485785059,81.90827413,36.52898092
2728,29.1,53.1,29.78650417,84.3491088,36.94163017
2728,29.1,54.1,6.796833794,87.96523293,32.72703571
2728,29.1,51.9,10.43728108,88.09250819,30.15786746
2724,29.1,51.1,4.444446937,81.24328756,32.91485634
2712,29.1,50,31.05531463,84.21232071,31.46767188
2673,29.1,48.8,17.80150133,91.61121885,33.52709335
2654,29.1,50.4,34.92030479,94.91288616,32.71739369
2649,29,50.5,15.67715794,89.42644605,34.48090914
2646,29,50.9,30.45199955,87.24899364,35.32144535
2646,29,50.5,44.73471626,95.85505117,32.71034173
2646,29,49.7,49.4263746,83.90260783,36.76176783
2646,29,51,34.71346658,82.89170495,33.29183962
2646,29,48.6,36.88603939,84.44511403,30.46723021
2645,29,50,4.103552252,81.24966838,30.952907
2645,29,51.5,18.27346188,93.56703663,31.11591114
2643,29.2,53.5,32.64220939,83.81722252,34.07472924
2642,29.3,51.7,41.6172853,93.13300999,31.70978438
2642,29.2,53.1,24.87023924,88.61808397,33.58307941
2642,29.2,50.6,23.7468264,98.87064015,35.72422435
2640,29,50.5,37.65508399,84.56040676,32.24585538
2639,29.3,50.7,27.19413741,83.8491614,35.4871655
2745,29.5,48.2,31.92834684,82.79771084,33.11724113
2744,31,51,43.9524761,83.46964839,31.54026365
2744,31,52.4,42.80206977,95.24831808,33.57150689
2744,30,48.8,39.31115248,88.67297345,32.83292596
2744,31,49.1,31.19101086,84.40492088,36.66612513
2742,31,50.9,19.38138059,80.67010151,34.00971408
2742,30,47.5,46.57271582,94.5493186,35.15144462
2741,30,51.2,10.59249813,82.54079782,33.12439049
2740,30.5,46.1,11.17351843,89.64332406,32.92817619
2740,31,48.3,7.970219749,95.76623395,33.50178583
2740,31.5,52.1,15.45796412,95.68529199,32.16685919
2740,32,49.9,6.322813466,95.49157648,33.79446826
2739,30,50.6,46.32865106,99.46858907,35.87317538
2739,29,49.8,15.11293864,84.14878775,33.26887828
2736,30,50.2,40.76707625,96.34095113,36.15086638
2736,30.5,48.7,32.37839425,92.08325803,32.77830434
2736,29.5,52.7,38.68343138,80.07313739,35.2820503
2736,30.5,51.4,35.12877935,81.07549433,30.52052926
2735,29,49.5,11.41639148,99.53714116,30.6029631
2735,29.5,50.7,32.57464135,99.76954976,34.73517176
2735,29.5,49.3,21.79090158,89.77104742,30.60956294
2732,30,51.7,27.35840562,81.7078539,34.00094338
2732,30,49.6,36.64615913,94.01349036,34.84048707
2732,30.5,48.5,17.28419509,96.37637925,32.58670992
2732,30.5,52.9,9.314038365,88.07288756,33.41007903
2730,32,50.8,7.153631449,82.25027336,30.89083944
2730,31,47.1,22.65512945,89.06670823,31.54296677
2730,29.5,50.5,48.23884114,83.05606147,36.81012644
2729,28.5,52.3,39.2477715,98.44194395,32.03172562
2729,30.5,51.6,49.14951964,81.57782794,36.95358718
2728,29.3,51.7,6.085706448,85.90121349,33.41829841
2728,29.3,52.3,20.37613564,86.01769072,34.36500982
2728,29.3,52.5,10.75352918,84.08797434,34.62756967
2728,29.3,49.7,35.07379703,90.20115427,33.18575697
2728,29.2,51.4,38.12160516,94.25282544,36.39602472
2728,29.2,54.3,12.80151249,84.19390818,32.12188745
2728,29.2,53.5,35.58517197,90.95892019,31.89667893
2728,29.2,51.7,13.84115274,95.9269484,32.35625351
2728,29.2,50.6,5.026669134,89.595169,32.6676948
2728,29.2,50.7,8.369796962,97.80793089,31.60884871
2728,29.1,53.1,31.14821505,81.11976156,31.43018775
2728,29.1,54.1,47.52698909,92.47751782,33.08367932
2728,29.1,51.9,43.37507583,96.9464355,32.71535453
2724,29.1,51.1,29.84999247,91.54237392,35.16112597
2712,29.1,50,46.53785456,84.29051536,34.56169932
2673,29.1,48.8,34.61709411,84.20988766,31.08877815
2654,29.1,50.4,0.996685895,92.54123248,31.19370905
2649,29,50.5,27.1827418,93.74011996,30.53467109
2646,29,50.9,48.49973437,85.71156561,32.26509665
2646,29,50.5,12.77917675,85.98481818,36.90658034
2646,29,49.7,9.184566319,99.86476723,36.57570287
2646,29,51,44.17973867,89.46223891,33.32273295
2646,29,48.6,45.48893991,93.29425582,31.46220902
2645,29,50,41.98062975,94.56986782,33.76221865
2645,29,51.5,38.1159221,80.48664434,31.7648004
2643,29.2,53.5,34.91599397,98.71493401,34.74615119
2642,29.3,51.7,25.00534349,86.70172138,34.29594343
2642,29.2,53.1,10.27202323,85.62785673,36.57434827
2642,29.2,50.6,19.81329932,93.34877964,34.92187118
2640,29,50.5,16.12174393,86.72051499,32.52814842
2639,29.3,50.7,35.37629887,94.03270068,33.73759071
2745,29.5,48.2,16.76270079,84.93240974,32.66909102
2744,31,51,14.57670552,84.99090697,34.98294817
2744,31,52.4,33.43260164,94.56559246,34.66111797
2744,30,48.8,12.24993038,96.22431309,33.07154648
2744,31,49.1,6.82160943,80.29934053,31.2024915
2742,31,50.9,24.27036968,86.23447412,35.99418126
2742,30,47.5,6.63967674,98.67192349,36.79862273
2741,30,51.2,11.79320947,85.88935252,34.06427105
2740,30.5,46.1,37.8874136,98.19003963,30.44581278
2740,31,48.3,18.39756317,97.7140385,34.37617286
2740,31.5,52.1,24.02214571,95.53880846,33.52277645
2740,32,49.9,23.15432117,95.02302002,35.07783651
2739,30,50.6,16.1513889,82.50896518,30.9153078
2739,29,49.8,6.79941471,90.90396351,31.31954582
2736,30,50.2,34.06144397,80.84091235,35.58485647
2736,30.5,48.7,24.95343851,84.88642257,35.86411182
2736,29.5,52.7,40.31368827,92.86236285,31.94503332
2736,30.5,51.4,13.17786004,89.58935249,31.01228919
2735,29,49.5,30.41621699,98.83000622,35.29288456
2735,29.5,50.7,37.73197636,97.83558116,32.2833333
2735,29.5,49.3,48.08262012,86.43651816,31.04602582
2732,30,51.7,16.90024216,87.43456891,33.70360903
2732,30,49.6,0.059736993,91.33740434,34.51532176
2732,30.5,48.5,9.628130958,89.90279133,31.20696056
2732,30.5,52.9,42.12114899,83.97211565,32.82566539
2730,32,50.8,34.25790229,80.57682462,34.84716311
2730,31,47.1,47.76651464,96.92870881,30.58629965
2730,29.5,50.5,17.33317062,98.99438369,30.43649495
2729,28.5,52.3,35.53752685,88.07596486,31.46612412
2729,30.5,51.6,2.917692,99.47261088,30.71177288
2728,29.3,51.7,42.03071639,88.35163219,35.40037321
2728,29.3,52.3,30.74593689,81.96718853,32.69980129
2728,29.3,52.5,47.01914619,87.02239056,31.15197547
2728,29.3,49.7,8.205334775,93.75803703,35.68412838
2728,29.2,51.4,8.833432963,85.3232059,30.63439479
2728,29.2,54.3,14.6661758,88.98210218,31.88563902
2728,29.2,53.5,10.20520659,94.8044506,34.78176896
2728,29.2,51.7,49.84000646,88.98043286,34.34707274
2728,29.2,50.6,9.560195819,93.19643062,33.92688245
2728,29.2,50.7,8.194667471,84.49316163,35.38540428
2728,29.1,53.1,23.49933205,87.95009414,31.6519842
2728,29.1,54.1,30.88158885,88.30903764,31.61315262
2728,29.1,51.9,1.792349683,96.93239194,31.54726244
2724,29.1,51.1,7.356202486,92.23816355,30.62310085
2712,29.1,50,36.7413756,82.07659263,30.53719617
2673,29.1,48.8,37.97486629,96.97040582,34.148059
2654,29.1,50.4,11.0281829,80.65706396,31.40227712
2649,29,50.5,48.43817903,82.48059589,30.86323875
2646,29,50.9,40.31512963,85.43785762,34.19925152
2646,29,50.5,37.12529254,95.56426651,36.94837907
2646,29,49.7,33.49334925,85.23023068,33.77826467
2646,29,51,1.739108239,84.96580925,30.88435737
2646,29,48.6,26.08469635,95.78865618,30.84432778
2645,29,50,5.91041191,84.99328137,32.11165925
2645,29,51.5,8.411405512,90.95217954,36.96260547
2643,29.2,53.5,37.78492102,88.62434844,34.7657697
2642,29.3,51.7,0.651059262,93.58984657,32.69291351
2642,29.2,53.1,28.59083075,91.45990507,31.63055826
2642,29.2,50.6,45.3282268,90.53989783,33.95160177
2640,29,50.5,32.29270139,84.75694611,30.75446599
2639,29.3,50.7,13.63991801,80.5072896,32.4777361
2745,29.5,48.2,37.96886474,86.99945282,30.46725189
2744,31,51,17.24745326,99.17220873,30.92449559
2744,31,52.4,10.63358311,92.5236152,35.86648227
2744,30,48.8,43.53622168,89.00337697,32.06462159
2744,31,49.1,43.23802283,94.41181949,36.02846749
2742,31,50.9,35.83240672,88.33972456,36.05911299
2742,30,47.5,23.58239124,95.46972431,34.76208731
2741,30,51.2,2.878787977,95.38724719,33.60312518
2740,30.5,46.1,9.498525908,88.66727939,34.64767803
2740,31,48.3,28.8541965,92.52298285,35.82239186
2740,31.5,52.1,2.378833916,81.95590853,35.26451505
2740,32,49.9,32.87093383,99.66368451,34.09253904
2739,30,50.6,22.14381737,81.8862401,36.27876002
2739,29,49.8,21.35046049,92.49448541,30.04418045
2736,30,50.2,39.20168902,95.28593561,30.28851161
2736,30.5,48.7,9.879002793,84.81223024,32.22186781
2736,29.5,52.7,47.9393882,85.88805967,34.55516255
2736,30.5,51.4,38.29764818,86.1055868,31.15348188
2735,29,49.5,37.44817723,84.97042164,34.2789555
2735,29.5,50.7,36.29241988,84.54798361,33.80767453
2735,29.5,49.3,7.762938409,99.95412517,34.0287943
2732,30,51.7,22.14124344,96.3450291,36.51202322
2732,30,49.6,30.66833635,82.02980829,30.06422981
